,id,title,ingredients,instructions
200,000dac0c4e,Easy Chocolate Ribbon Coconut Pie,Ingredients: 1. 1 1 2 cups baker's angel flake coconut 2. 1 pkg. baker's semi sweet chocolate 3. 2 tbsp. milk 4. 1 tbsp. butter or margarine 5. 1 graham cracker crumb crust 6. 2 pkg. jell o vanilla flavor instant pudding 7. 1 1 2 cups milk 8. 1 tub cool whip whipped topping ,"Instructions: 1. Spread 1 cup coconut onto bottom of microwaveable pie plate. 2. Microwave on HIGH 3 min. 3. or until lightly browned, stirring every minute. 4. Cool. 5. Meanwhile, microwave chocolate, 2 Tbsp. 6. milk and butter in small microwaveable bowl 2 min. 7. or until chocolate is almost melted, stirring after each minute; stir until chocolate is completely melted. 8. Spread onto bottom of crust. 9. Refrigerate 15 min. 10. or until chocolate is firm. 11. Beat pudding mixes and 1-1/2 cups milk in large bowl with whisk 2 min. 12. Let stand 1 min. 13. or until thickened. 14. Stir in 1-3/4 cups COOL WHIP and remaining  coconut; spread over chocolate layer in crust. 15. Add 3/4 cup toasted coconut to remaining COOL WHIP; stir gently until blended. 16. Spread over pudding layer; sprinkle with remaining toasted coconut. 17. Refrigerate 4 hours or until firm. "
201,000db15ff4,Broiled Parmesan Tomatoes,Ingredients: 1. 3 cans tomatoes 2. salt and pepper 3. 1 2 cup unsalted butter 4. 1 1 2 cups parmesan ,"Instructions: 1. Place the tomatoes in a 13 by 9-inch casserole dish. 2. Sprinkle with salt and pepper to taste and top each with a pat of butter. 3. Generously sprinkle the cheese over the tomatoes and broil for 10 to 15 minutes, until the tomatoes are heated through and the cheese is bubbly. "
202,000db4faa2,Pretzel Crusted Chicken Tenders,Ingredients: 1. 12 cup fat free buttermilk 2. 2 tablespoons dijon mustard 3. 2 tablespoons rice vinegar 4. 1 tablespoon orange marmalade 5. 12 teaspoon kosher salt 6. 12 teaspoon pepper 7. 1 lb boneless skinless chicken tenders 8. 3 cups pretzel sticks 9. 2 tablespoons melted butter 10. mustard ,"Instructions: 1. Preheat oven to 400 degrees F. 2. Whisk together the buttermilk, mustard, rice vinegar, orange marmalade, salt and pepper in a large plastic container. 3. Add chicken tenders to the marinade, turning with tongs to coat well. 4. Place in refrigerator for 5-10 minutes. 5. Meanwhile, prepare the pretzels by placing them in a 1 gallon-size ziploc bag and crushing them with a rolling pin. 6. Spread pretzels out in a shallow dish or plate. 7. Remove chicken from refrigerator. 8. Spray a baking sheet with nonstick spray. 9. Make an assembly line by placing the chicken first, then the crushed pretzels, then the baking sheet. 10. Dip each chicken tender in the crushed pretzels, turning to coat. 11. Place on prepared baking sheet. 12. Drizzle chicken tenders with melted butter. 13. Bake on the center rack of the oven 12 to 15 minutes until chicken is golden brown and cooked through. 14. Drizzle with mustard. "
203,000dbaea0f,Taco Soup,Ingredients: 1. 1 lb lean beef 2. 1 onion 3. 1 12 cups water 4. 1 12 cups dry red wine 5. 2 cans tomatoes 6. 1 can tomato sauce 7. 2 cans dark red kidney beans 8. 1 package taco seasoning mix 9. 2 cups cheddar cheese 10. 1 bag corn chips 11. sour cream 12. black olives 13. 3 green onions 14. 2 cans green chilies ,"Instructions: 1. Brown ground beef with onion in stock pot, stirring frequently; drain well. 2. Add water, wine,undrained tomatoes, kidney beans, tomato sauce and taco seasoning mix. 3. Stir till mixed well. 4. Cover and simmer for 35 to 40 minutes stirring occasionally. 5. Garnish with some or all of the remaining ingredients. "
204,000dc3e7e7,"Penne With Black Kale, Sausage, and Roasted Peppers",Ingredients: 1. 1 tbsp. olive oil 2. 3 4 lb. hot italian sausage 3. 1 lb. penne pasta 4. 1 lb. black kale 5. 12 oz. jarred red peppers 6. 2 clove garlic 7. 1 2 c. parmesan cheese ,"Instructions: 1. Bring a large pot of salted water to a boil. 2. Meanwhile, heat olive oil in a large, deep skillet over medium heat; add sausage. 3. Cook until browned and halfway cooked through, about 7 minutes. 4. At this point, add pasta to boiling water, stir a few times, and cook according to package directions. 5. Add kale to sausage; cover skillet and cook 2 minutes, tossing once or twice, or until kale is wilted. 6. Stir in peppers and garlic; cook 7 minutes longer, or until sausage is cooked. 7. Drain pasta, reserving 1/2 cup of the cooking water. 8. Return pasta to pot; add sausage mixture and reserved cooking water, and toss. 9. Divide among 6 plates and sprinkle each with Parmesan cheese. 10. Serve immediately. "
205,000df26c65,Fair Scones,Ingredients: 1. 2 1 2 cups all purpose flour 2. 2 tablespoons white sugar 3. 2 teaspoons baking powder 4. 1 2 teaspoon salt 5. 6 tablespoons shortening 6. 1 2 cup milk ,"Instructions: 1. Preheat an oven to 450 degrees F . 2. Whisk flour, sugar, baking powder, and salt together in a large bowl. 3. Cut shortening into flour mixture with a fork or pastry knife until crumbly texture. 4. Add milk; mix until just combined. 5. Turn dough onto a floured surface; knead until completely mixed, about 1 minute. 6. Divide into 2 equal pieces. 7. Roll or pat each piece into a 3/4-inch round. 8. Cut each round into 4 pieces. 9. Arrange pieces on a baking sheet. 10. Bake in the preheated oven until golden brown, about 15 minutes. "
206,000dfc842f,Hot Fudge Pudding Cake II,Ingredients: 1. 1 14 cups sugar 2. 1 cup all purpose flour 3. 7 tablespoons cocoa 4. 2 teaspoons baking powder 5. 14 teaspoon salt 6. 12 cup milk 7. 13 cup butter or 13 cup margarine 8. 1 12 teaspoons vanilla extract 9. 12 cup light brown sugar 10. 1 14 cups water 11. whipped ,"Instructions: 1. Heat oven to 350'F. 2. In medium bowl stir together 3/4 cup granulated sugar, flour, 3 Tbls. 3. cocoa, baking powder and salt. 4. Blend in milk, butter and vanilla, beat until smooth. 5. Pour batter into 8- or 9-inch square baking pan. 6. In separate bowl, stir together remaining 1/2 cup granulated sugar, brown sugar and remaining 4 tablespoons cocoa; sprinkle mixture evenly over batter. 7. Pour hot water over top; do not stir. 8. Bake 35 to 40 minutes or until center is almost set. 9. Let stand 15 minutes; spoon into dessert dishes, spooning sauce from bottom of pan over top. 10. Garnish with whipped topping. "
207,000e080daa,Chocolate Cherry Lactation Bars,Ingredients: 1. 1 cup butter 2. 1 cup almond butter 3. 1 cup sugar 4. 2 cups brown sugar 5. 4 eggs 6. 1 tablespoon vanilla 7. 1 teaspoon salt 8. 2 teaspoons baking soda 9. 2 12 cups flour 10. 12 cup wheat germ 11. 14 cup brewer's yeast 12. 14 cup flax seed meal 13. 4 cups old fashioned oatmeal 14. 1 cup dark chocolate chips 15. 1 cup dried cherries ,"Instructions: 1. Cream butter, almond butter, sugar, and brown sugar. 2. Add vanilla and eggs until incorporated. 3. Mix in dry ingredients except oatmeal. 4. Add oats, chocolate chips, and cherries last. 5. Line a jellyroll pan with foil and spray with nonstick spray. 6. Cook 20 minutes on 350. "
208,000e2cfbea,Spanish Mussels Vinaigrette (Mejillones a La Vinagreta),Ingredients: 1. 30 mussels 2. lettuce 3. 2 tablespoons green onions 4. 2 tablespoons green peppers 5. 2 tablespoons red peppers 6. 1 tablespoon parsley 7. 4 tablespoons olive oil 8. 2 tablespoons vinegar 9. 1 dash red pepper sauce 10. salt ,"Instructions: 1. Steam open the mussels. 2. Put them in a deep pan with the water. 3. Cover the pan and put over a high heat, shaking the pan, until the shells open. 4. Remove from heat and discard any mussels that do not open. 5. Mussels can also be opened in a microwave. 6. Place them in a microwave-safe bowl, partially covered, and microwave at full power for one minute. 7. Stir and microwave one minute more. 8. Remove any mussels that have opened and microwave one minute more. 9. Again remove open ones. 10. Repeat twice more. 11. Discard any mussels that have not opened. 12. When cool enough to handle, remove and discard the empty shells. 13. Shortly before serving, arrange mussels on a bed of shredded lettuce on a serving platter. 14. In a bowl combine the onion, green and red pepper, parsley, oil, and vinegar. 15. Season with red pepper sauce and salt. 16. Spoon the mixture into the mussels in their shells. "
209,000e3b9862,Chicken and Chinese Broccoli Miso Stir-Fry,Ingredients: 1. 12 lb chicken breast 2. 12 lb chinese broccoli or 12 lb italian broccoli or 12 lb bok choy 3. 1 sweet onion 4. 3 garlic cloves 5. 1 tablespoon dark soy sauce 6. 12 teaspoon salt 7. 3 tablespoons peanut oil or 3 tablespoons vegetable oil 8. 2 tablespoons red miso 9. 12 cup water 10. 1 tablespoon cornstarch 11. 2 green onions 12. 3 tablespoons parsley ,"Instructions: 1. Stir fry garlic and onions in oil until they are slightly cooked . 2. Add chicken meat and cook until mostly cooked . 3. Add chinese broccoli cut into bite size pieces along with miso and cook about 2 minutes more. 4. Add soy, water and cornstarch and bring to a boil. 5. Check seasoning once chicken has cooked through, and add salt as desired. 6. Garnish with green onions and parsley. 7. Serve with rice. "
